Baseline 100%T,,Baseline 100%T,,Ti(Salen)(OiPr)2,,Ti(Salen)(OiPr)2 + AgBArF,,Ti(Salen)(OiPr)2 + AgBArF repeat,,Ti(Salen)(OiPr)2 + AgBArF + BIPY,,AgBArF ref,,BIPY ref,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
758.0081787,0.06267375499,758.0081787,0.06267375499,758.0081787,0.001902378513,758.0081787,0.001596444985,758.0081787,0.002966857981,758.0081787,0.02906055562,758.0081787,0.04335441068,758.0081787,0.02016887255,
756.9846802,0.06252177805,756.9846802,0.06252177805,756.9846802,0.001850200468,756.9846802,0.0013903582,756.9846802,0.002710599918,756.9846802,0.02895472944,756.9846802,0.04347713664,756.9846802,0.02026549913,
755.9960938,0.06237956509,755.9960938,0.06237956509,755.9960938,0.001864966704,755.9960938,0.001415185281,755.9960938,0.003141517984,755.9960938,0.02920427918,755.9960938,0.04327023774,755.9960938,0.02014270611,
755.0072021,0.06215907261,755.0072021,0.06215907261,755.0072021,0.00228997157,755.0072021,0.001604369376,755.0072021,0.00339210825,755.0072021,0.0287645366,755.0072021,0.04364005104,755.0072021,0.02079348825,
753.9824829,0.06218091026,753.9824829,0.06218091026,753.9824829,0.001742484397,753.9824829,0.001196075929,753.9824829,0.003020838602,753.9824829,0.0286143478,753.9824829,0.04342512414,753.9824829,0.02077277005,
752.9928589,0.06170458347,752.9928589,0.06170458347,752.9928589,0.001928144949,752.9928589,0.001714156242,752.9928589,0.003188114613,752.9928589,0.0290503148,752.9928589,0.0439867489,752.9928589,0.02092515863,
752.0028076,0.06155741587,752.0028076,0.06155741587,752.0028076,0.002087795408,752.0028076,0.001824100851,752.0028076,0.003166966839,752.0028076,0.02899657004,752.0028076,0.04391262308,752.0028076,0.02150930092,
751.0123901,0.0612513721,751.0123901,0.0612513721,751.0123901,0.002180793555,751.0123901,0.001611410407,751.0123901,0.0030568121,751.0123901,0.02904596925,751.0123901,0.04386427999,751.0123901,0.02122349106,
749.9862671,0.0610814169,749.9862671,0.0610814169,749.9862671,0.00212985673,749.9862671,0.001318144496,749.9862671,0.002788672922,749.9862671,0.02939934842,749.9862671,0.04406378418,749.9862671,0.02103735879,
748.9951782,0.06101295352,748.9951782,0.06101295352,748.9951782,0.001925024786,748.9951782,0.001706567709,748.9951782,0.003132105339,748.9951782,0.02886962332,748.9951782,0.0440053381,748.9951782,0.021217186,
748.0036621,0.06034749746,748.0036621,0.06034749746,748.0036621,0.002407376422,748.0036621,0.001915118541,748.0036621,0.003358480986,748.0036621,0.02969546802,748.0036621,0.044188831,748.0036621,0.0217835661,
747.0118408,0.06070026755,747.0118408,0.06070026755,747.0118408,0.001927182893,747.0118408,0.00120705599,747.0118408,0.002859776607,747.0118408,0.02926710434,747.0118408,0.04383552819,747.0118408,0.0210394524,
745.9842529,0.06011483446,745.9842529,0.06011483446,745.9842529,0.002407246269,745.9842529,0.001617646194,745.9842529,0.00301445229,745.9842529,0.02957712859,745.9842529,0.04418977723,745.9842529,0.02184399217,
744.9916382,0.05983713642,744.9916382,0.05983713642,744.9916382,0.001842141617,744.9916382,0.00175184093,744.9916382,0.003272115719,744.9916382,0.02944081463,744.9916382,0.04411546886,744.9916382,0.02160228044,
743.9988403,0.05955222249,743.9988403,0.05955222249,743.9988403,0.002206290374,743.9988403,0.001564644976,743.9988403,0.003419267712,743.9988403,0.03000812605,743.9988403,0.04441684112,743.9988403,0.02147505619,
743.0055542,0.05960709602,743.0055542,0.05960709602,743.0055542,0.001685777796,743.0055542,0.001566151856,743.0055542,0.002964460058,743.0055542,0.02968293987,743.0055542,0.04409652948,743.0055542,0.02141758986,
742.0120239,0.05902609974,742.0120239,0.05902609974,742.0120239,0.002099318197,742.0120239,0.001783732558,742.0120239,0.003158935579,742.0120239,0.0302336663,742.0120239,0.04430972785,742.0120239,0.02116152085,
740.9825439,0.05890670046,740.9825439,0.05890670046,740.9825439,0.001938961563,740.9825439,0.001967798453,740.9825439,0.003103086725,740.9825439,0.03020841256,740.9825439,0.04438882694,740.9825439,0.02107219398,
739.9882202,0.05828726664,739.9882202,0.05828726664,739.9882202,0.002180377254,739.9882202,0.002034216654,739.9882202,0.003004677594,739.9882202,0.03071201779,739.9882202,0.0449353382,739.9882202,0.02155861631,
738.9935913,0.05808345973,738.9935913,0.05808345973,738.9935913,0.001873675967,738.9935913,0.00215646904,738.9935913,0.003176849568,738.9935913,0.03077636659,738.9935913,0.0447935164,738.9935913,0.02169057354,
737.9985352,0.05787164718,737.9985352,0.05787164718,737.9985352,0.001933059189,737.9985352,0.002204911318,737.9985352,0.00286381552,737.9985352,0.03069598787,737.9985352,0.04507387429,737.9985352,0.0216649957,
737.0032349,0.05747929215,737.0032349,0.05747929215,737.0032349,0.002238137182,737.0032349,0.00215787394,737.0032349,0.003017085139,737.0032349,0.03113215789,737.0032349,0.0451458171,737.0032349,0.02186819352,
736.0075073,0.05700717866,736.0075073,0.05700717866,736.0075073,0.001957657281,736.0075073,0.00209281547,736.0075073,0.003015364753,736.0075073,0.03102618828,736.0075073,0.04544002563,736.0075073,0.0221710708,
735.0114746,0.05674659088,735.0114746,0.05674659088,735.0114746,0.001984623028,735.0114746,0.001924582757,735.0114746,0.003039346309,735.0114746,0.03102768958,735.0114746,0.04548063874,735.0114746,0.02211770788,
734.0150757,0.0563615039,734.0150757,0.0563615039,734.0150757,0.00180764636,734.0150757,0.001879707444,734.0150757,0.003208246315,734.0150757,0.03113774769,734.0150757,0.04579262063,734.0150757,0.02201903425,
732.9827271,0.05610598624,732.9827271,0.05610598624,732.9827271,0.001713636448,732.9827271,0.00180522888,732.9827271,0.003010099288,732.9827271,0.03117915802,732.9827271,0.04558378458,732.9827271,0.02184529975,
731.9856567,0.05564757437,731.9856567,0.05564757437,731.9856567,0.001990396064,731.9856567,0.00173398573,731.9856567,0.003071880201,731.9856567,0.03121501021,731.9856567,0.04564379156,731.9856567,0.02201296017,
